Accession,Virus Name,Publication Date,Host,Taxonomy ID,Zoonotic Potential
KX285393,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATMT RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285392,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATMR RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285391,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATMQ RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285390,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATMP RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285389,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATMO RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285388,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATMM RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285387,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATML RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285386,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATMK RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285385,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATMJ RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285384,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATMI RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285383,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATMH RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285382,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATMG RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285381,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATMB RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285380,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATMA RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285379,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATLZ RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285378,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATLX RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285377,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATLW RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285376,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATLV RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285375,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATLT RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285374,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATLO RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285373,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATLL RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285372,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATLK RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285371,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATLH RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285370,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATLD RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285369,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATLC RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285368,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATLB RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285367,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATLA RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285366,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AASJX RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285365,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AASJW RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285364,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AASFF RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285363,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AAUFJ RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285362,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AAUFI RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285361,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AAUFH RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285360,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AAUEY RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285359,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AAUEW RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285358,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AAUEV RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285357,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATOS RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285356,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATOQ RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285355,"Chaerephon bat coronavirus/Kenya/KY41/2006 PREDICT-AATCG RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Tadarida sp.,983923,FALSE
KX285354,"Chaerephon bat coronavirus/Kenya/KY22/2006 PREDICT-AATCF RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Tadarida sp.,983929,FALSE
KX285353,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATCB RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Tadarida sp.,983924,FALSE
KX285352,"Chaerephon bat coronavirus/Kenya/KY22/2006 PREDICT-AATCA RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Tadarida sp.,983929,FALSE
KX285351,"Chaerephon bat coronavirus/Kenya/KY22/2006 PREDICT-AATBY RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Tadarida sp.,983929,FALSE
KX285349,"Chaerephon bat coronavirus/Kenya/KY22/2006 PREDICT-AATBP RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Tadarida sp.,983929,FALSE
KX285348,"Chaerephon bat coronavirus/Kenya/KY22/2006 PREDICT-AATBM RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Tadarida sp.,983929,FALSE
KX285347,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJS RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285346,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJR RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285345,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJP RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285344,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJO RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285343,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJN RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285342,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJM RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285341,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJK RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285340,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJJ RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285339,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJI RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285338,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJH RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285337,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJG RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285336,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJF RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285335,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJE RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285334,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJD RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285333,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJC RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285332,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJB RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285331,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATJA RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285330,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIZ RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285329,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIY RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285328,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIX RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285327,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIW RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285326,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIV RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285325,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIU RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285324,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIT RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285323,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIS RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285322,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIR RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285321,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIQ RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285320,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIP RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285319,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIO RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285318,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIN RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285317,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIM RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285316,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIK RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285315,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATII RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285314,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIH RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285313,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIG RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285312,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIF RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285311,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIE RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285310,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATID RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285309,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIC RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285308,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIB RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285307,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATIA RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285306,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATHZ RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285305,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATHY RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285304,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATHX RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285303,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATHW RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285302,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATHT RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285301,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATHO RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285300,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATHC RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285299,"Kenya bat coronavirus/BtKY56/BtKY55 PREDICT-AATHA RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Epomophorus sp.,2042604,FALSE
KX285298,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATGX RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285297,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATGW RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285296,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATGT RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285295,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATGQ RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285294,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATGO RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285293,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATGN RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285292,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATGM RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285291,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATGL RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285290,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATGK RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285289,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATGJ RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285288,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATGG RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285287,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATGD RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285286,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATGB RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285285,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATGA RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285284,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFY RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285283,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFX RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285282,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFW RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285281,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFV RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285280,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFU RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285279,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFT RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285278,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFQ RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285277,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFK RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285276,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFJ RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285275,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFI RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285274,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFH RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285273,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFG RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285272,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFF RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285271,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFE RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285270,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFD RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285269,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFC RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285268,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATFB RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285267,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATEZ RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285266,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATEY RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285265,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATEX RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285264,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATEW RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285263,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATEU RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Eidolon helvum,983924,FALSE
KX285262,"Chaerephon bat coronavirus/Kenya/KY22/2006 PREDICT-AAOSV RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Chaerephon pumilus,983929,FALSE
KX285261,"Chaerephon bat coronavirus/Kenya/KY22/2006 PREDICT-AAOSP RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Chaerephon pumilus,983929,FALSE
KX285260,"Chaerephon bat coronavirus/Kenya/KY22/2006 PREDICT-AAOSO RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Chaerephon pumilus,983929,FALSE
KX285259,"Chaerephon bat coronavirus/Kenya/KY22/2006 PREDICT-AAOSN RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Chaerephon pumilus,983929,FALSE
KX285258,"Chaerephon bat coronavirus/Kenya/KY22/2006 PREDICT-AAOSK RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Chaerephon pumilus,983929,FALSE
KX285257,"Chaerephon bat coronavirus/Kenya/KY22/2006 PREDICT-AAOSJ RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Chaerephon pumilus,983929,FALSE
KX285256,"Chaerephon bat coronavirus/Kenya/KY22/2006 PREDICT-AAOSF RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Chaerephon pumilus,983929,FALSE
KX285255,"Chaerephon bat coronavirus/Kenya/KY22/2006 PREDICT-AAOSE RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Chaerephon pumilus,983929,FALSE
KX285254,"Chaerephon bat coronavirus/Kenya/KY22/2006 PREDICT-AAORU RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Chaerephon pumilus,983929,FALSE
KX285252,"Chaerephon bat coronavirus/Kenya/KY22/2006 PREDICT-AATJV RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Tadarida sp.,983929,FALSE
KX285251,"Chaerephon bat coronavirus/Kenya/KY22/2006 PREDICT-AAOQJ RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Scotoecus sp.,983929,FALSE
KX285236,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATEB RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Triaenops persicus,983924,FALSE
KX285228,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATCX RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Triaenops persicus,983924,FALSE
KX285226,"Eidolon bat coronavirus/Kenya/KY24/2006 PREDICT-AATCN RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Triaenops persicus,983924,FALSE
KX285218,"Bat coronavirus HKU6 PREDICT-EHA-156-12-NL13953 RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Myotis ricketti,393045,FALSE
KX285217,"Bat coronavirus HKU6 PREDICT-EHA-156-12-NL13946 RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Myotis ricketti,393045,FALSE
KX285216,"Bat coronavirus HKU6 PREDICT-EHA-156-12-NL13945 RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Myotis ricketti,393045,FALSE
KX285215,"Bat coronavirus HKU6 PREDICT-EHA-156-12-NL13937 RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Myotis ricketti,393045,FALSE
KX285214,"Bat coronavirus HKU6 PREDICT-EHA-156-12-NL13928 RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Myotis ricketti,393045,FALSE
KX285200,"Pipistrellus bat coronavirus HKU5 PREDICT-EHA-156-12-NL13856 RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Pipistrellus pipistrellus,694008,FALSE
KX285199,"Pipistrellus bat coronavirus HKU5 PREDICT-EHA-156-12-NL13849 RNA-dependent RNA polymerase mRNA, partial cds.",26-Feb-2019,Pipistrellus pipistrellus,694008,FALSE
